sq_mt_built,n_rooms,n_bathrooms,floor,house_type_id,is_renewal_needed,built_year,has_lift,is_exterior,has_parking,raw_address,buy_price,energy_certificate,age
64,2,1,3,HouseType 1: Pisos,0,1960,0,1,0,"Calle de Godella, 64",85000,D,64
70,3,1,4,HouseType 1: Pisos,1,0,1,1,0,Calle de la del Manojo de Rosas,129900,en trámite,0
94,2,2,1,HouseType 1: Pisos,0,0,1,1,0,"Calle del Talco, 68",144247,no indicado,0
64,2,1,0,HouseType 1: Pisos,0,1955,1,1,0,Calle Pedro Jiménez,109900,en trámite,69
108,2,2,4,HouseType 1: Pisos,0,2003,1,1,1,Carretera de Villaverde a Vallecas,260000,en trámite,21
126,4,2,3,HouseType 1: Pisos,0,1981,0,1,1,geologia,195000,en trámite,43
120,5,2,1,HouseType 1: Pisos,0,0,0,1,1,Avenida Real de Pinto,190000,F,0
125,3,2,2,HouseType 1: Pisos,0,0,0,1,0,no descrito,198500,no indicado,0
84,3,2,1,HouseType 1: Pisos,0,0,1,1,1,no descrito,212000,F,0
85,2,1,7,HouseType 1: Pisos,1,1950,0,1,0,Calle de Martinez Oviol,131400,en trámite,74
69,2,2,2,HouseType 1: Pisos,1,1963,0,1,0,De la Plata - Villaverde,118000,en trámite,61
122,3,2,6,HouseType 1: Pisos,0,0,1,0,1,no descrito,246900,E,0
123,3,2,4,HouseType 1: Pisos,0,1992,1,1,0,"Calle de la Unanimidad, 67",195000,D,32
109,3,2,3,HouseType 1: Pisos,0,1983,1,1,0,"Calle de Anoeta, 63",205000,E,41
64,3,1,3,HouseType 1: Pisos,0,1960,0,1,0,Calle GODELLA,72000,F,64
115,3,1,3,HouseType 1: Pisos,0,0,0,1,0,Calle San Macario,160000,en trámite,0
115,3,1,1,HouseType 1: Pisos,0,0,0,1,0,no descrito,184900,en trámite,0
65,3,1,4,HouseType 1: Pisos,0,0,0,1,0,no descrito,90000,en trámite,0
75,3,1,3,HouseType 1: Pisos,1,0,1,1,0,no descrito,129900,en trámite,0
60,2,1,0,HouseType 1: Pisos,0,0,0,1,0,no descrito,94900,en trámite,0
60,2,1,2,HouseType 1: Pisos,0,0,0,1,0,no descrito,89900,en trámite,0
95,4,2,4,HouseType 1: Pisos,0,0,0,1,0,no descrito,144900,en trámite,0
76,3,1,2,HouseType 1: Pisos,1,0,0,1,0,no descrito,110000,en trámite,0
51,2,1,-1,HouseType 1: Pisos,0,0,0,0,0,Camino Leganés,93000,en trámite,0
